,Games,Year,Season,City
0,1992 Summer,1992,Summer,Barcelona
1,2012 Summer,2012,Summer,London
2,1920 Summer,1920,Summer,Antwerpen
3,1900 Summer,1900,Summer,Paris
4,1988 Winter,1988,Winter,Calgary
6,1992 Winter,1992,Winter,Albertville
8,1994 Winter,1994,Winter,Lillehammer
26,1932 Summer,1932,Summer,Los Angeles
28,2002 Winter,2002,Winter,Salt Lake City
29,1952 Summer,1952,Summer,Helsinki
30,1980 Winter,1980,Winter,Lake Placid
31,2000 Summer,2000,Summer,Sydney
32,1996 Summer,1996,Summer,Atlanta
35,1912 Summer,1912,Summer,Stockholm
39,1924 Summer,1924,Summer,Paris
40,2014 Winter,2014,Winter,Sochi
41,1948 Summer,1948,Summer,London
68,1998 Winter,1998,Winter,Nagano
77,2006 Winter,2006,Winter,Torino
79,2008 Summer,2008,Summer,Beijing
80,2016 Summer,2016,Summer,Rio de Janeiro
82,2004 Summer,2004,Summer,Athina
83,1960 Winter,1960,Winter,Squaw Valley
85,1964 Winter,1964,Winter,Innsbruck
87,1984 Winter,1984,Winter,Sarajevo
88,1984 Summer,1984,Summer,Los Angeles
89,1968 Summer,1968,Summer,Mexico City
90,1972 Summer,1972,Summer,Munich
91,1988 Summer,1988,Summer,Seoul
94,1936 Summer,1936,Summer,Berlin
110,1952 Winter,1952,Winter,Oslo
111,1956 Winter,1956,Winter,Cortina d'Ampezzo
128,1956 Summer,1956,Summer,Melbourne
129,1960 Summer,1960,Summer,Roma
133,1928 Summer,1928,Summer,Amsterdam
145,1976 Summer,1976,Summer,Montreal
188,1980 Summer,1980,Summer,Moskva
192,1964 Summer,1964,Summer,Tokyo
245,2010 Winter,2010,Winter,Vancouver
266,1968 Winter,1968,Winter,Grenoble
268,1906 Summer,1906,Summer,Athina
626,1972 Winter,1972,Winter,Sapporo
628,1976 Winter,1976,Winter,Innsbruck
672,1924 Winter,1924,Winter,Chamonix
711,1904 Summer,1904,Summer,St. Louis
935,1928 Winter,1928,Winter,Sankt Moritz
1149,1908 Summer,1908,Summer,London
1187,1948 Winter,1948,Winter,Sankt Moritz
1325,1932 Winter,1932,Winter,Lake Placid
1326,1936 Winter,1936,Winter,Garmisch-Partenkirchen
3078,1896 Summer,1896,Summer,Athina
6185,1956 Summer,1956,Summer,Stockholm
